team,episode_id,opponent,final_reward,ladder_score,hires_first48,land_first48,cows_first48,sheep_first48,geese_first48,wheat_seeds_first48,melon_seeds_first48,strawberry_seeds_first48,wheat_bought_first48,sold_wheat_first48,sold_fertilizer_first48
HealthStone,91035389,shehai.lrs,93132.0,3132.9,3,0,1,4,0,5,5,0,4,0,0
HealthStone,91036216,Lester Leong,127659.0,3132.9,3,0,1,4,0,5,5,0,4,0,0
HealthStone,91043818,kevin park,79145.0,3132.9,3,0,1,4,0,5,5,0,4,0,0
Mohamed,91029473,saikyo,84029.0,3123.1,5,0,2,2,0,7,12,0,7,2,0
Mohamed,91030358,kakuteki,53067.0,3123.1,5,0,2,2,0,7,12,0,7,2,0
Mohamed,91033711,Kenjo1209,80989.0,3123.1,5,0,2,2,0,7,12,0,7,2,0
Seb,90997714,Phi,59856.0,3201.1,14,0,3,2,0,14,3,0,14,0,4
Seb,91016957,HealthStone,38817.0,3201.1,14,0,3,2,0,14,3,0,14,0,4
Seb,91036259,lingyu07,71027.0,3201.1,14,0,3,2,0,14,3,0,14,0,4
mrgrishninsb,91020223,风沙星辰,108198.0,3117.6,5,0,2,2,0,7,12,0,7,2,0
mrgrishninsb,91027755,Lester Leong,72939.0,3117.6,5,0,2,2,0,7,12,0,7,2,0
mrgrishninsb,91037072,风沙星辰,117261.0,3117.6,5,0,2,2,0,7,12,0,7,2,0
tao_wu11,91031978,Lester Leong,102986.0,3131.4,5,0,2,2,0,7,12,0,7,2,0
tao_wu11,91038777,Lester Leong,75566.0,3131.4,5,0,2,2,0,7,12,0,7,2,0
tao_wu11,91053943,Howon Kang,73233.0,3131.4,5,0,2,2,0,7,12,0,7,2,0
