step,day,worker,animal,tty,ds5,ds20,has_replacement,replacement_count,best_alt,is_winner
13,0,H0,SHEEP,131,0.0,200.0,True,10,HARVEST,True
18,0,F,SHEEP,126,0.0,398.0,True,20,HARVEST,True
21,0,F,COW,171,0.0,398.0,True,17,HARVEST,True
21,0,H0,COW,171,0.0,398.0,True,17,HARVEST,True
27,1,H4,SHEEP,117,200.0,398.0,True,37,HARVEST,True
30,1,H1,SHEEP,114,99.0,198.0,True,35,HARVEST,True
31,1,H5,COW,161,99.0,198.0,True,35,HARVEST,True
32,1,F,COW,160,198.0,198.0,True,35,HARVEST,True
38,1,H1,COW,178,0.0,0.0,True,34,HARVEST,True
52,2,H6,SHEEP,92,0.0,488.0,True,37,HARVEST,True
54,2,H0,SHEEP,90,0.0,488.0,True,34,HARVEST,True
58,2,H6,COW,158,0.0,488.0,True,23,HARVEST,True
63,2,H5,COW,129,488.0,488.0,True,17,HARVEST,True
64,2,H1,COW,128,194.0,194.0,True,17,HARVEST,True
75,3,H5,SHEEP,69,0.0,480.0,True,38,HARVEST,True
78,3,H5,SHEEP,66,0.0,480.0,True,35,HARVEST,True
80,3,F,COW,112,0.0,480.0,True,32,HARVEST,True
81,3,H1,COW,135,0.0,480.0,True,31,HARVEST,True
81,3,H5,COW,111,0.0,480.0,True,31,HARVEST,True
84,3,H1,COW,180,384.0,480.0,True,27,HARVEST,True
103,4,H1,COW,89,0.0,2108.0,True,31,HARVEST,True
105,4,H0,COW,87,0.0,2108.0,True,27,HARVEST,True
105,4,H6,COW,111,0.0,2108.0,True,27,HARVEST,True
107,4,H1,COW,157,0.0,2108.0,True,22,HARVEST,True
112,4,H1,COW,176,165.0,2108.0,True,6,HARVEST,True
150,6,H6,SHEEP,66,1488.0,3187.0,True,27,WATER,True
152,6,F,COW,136,1488.0,3187.0,True,25,WATER,True
153,6,H0,COW,111,1432.0,1699.0,True,25,WATER,True
153,6,H2,COW,63,1432.0,1699.0,True,25,WATER,True
159,6,H0,SHEEP,57,267.0,267.0,True,26,WATER,True
200,8,F,COW,64,0.0,3960.0,True,50,WATER,True
202,8,H6,COW,86,420.0,3960.0,True,47,WATER,True
228,9,H10,SHEEP,60,83.0,2408.0,True,35,HARVEST,True
