team,action,count,avg_ds5,avg_ds20
Seb (allegedly),BUILD_PASTURE,17,91.88235294117646,627.0588235294117
Seb (allegedly),PICKUP,179,339.16201117318434,3284.7932960893854
Seb (allegedly),DROP,201,1743.4278606965174,3475.681592039801
Seb (allegedly),PLANT,92,775.0434782608696,2807.75
Seb (allegedly),PLACE,17,181.7058823529412,2202.1176470588234
Seb (allegedly),WATER,673,697.9197622585439,4912.3491827637445
Seb (allegedly),FEED,355,819.1830985915493,4866.284507042254
Seb (allegedly),CARE,327,1425.0183486238532,4586.724770642202
Seb (allegedly),COLLECT_FERTILIZER,348,1870.9166666666667,4482.080459770115
Seb (allegedly),HARVEST,342,1821.8040935672514,7934.862573099415
Lucien de Rubempre,BUILD_PASTURE,14,1499.142857142857,2574.0714285714284
Lucien de Rubempre,PICKUP,339,4385.743362831859,18115.879056047197
Lucien de Rubempre,PLACE,27,619.4074074074074,2078.925925925926
Lucien de Rubempre,FEED,319,5188.658307210031,20740.677115987462
Lucien de Rubempre,CARE,308,5242.006493506494,20068.43831168831
Lucien de Rubempre,PLANT,131,3029.3969465648856,11626.75572519084
Lucien de Rubempre,WATER,850,4686.967058823529,20232.736470588236
Lucien de Rubempre,COLLECT_FERTILIZER,318,5562.405660377359,22347.264150943396
Lucien de Rubempre,DROP,80,5862.125,19306.5125
Lucien de Rubempre,HARVEST,338,7682.568047337278,29160.023668639053
CARLOS CAADA ROSTRO,BUILD_PASTURE,14,1230.7142857142858,2205.5
CARLOS CAADA ROSTRO,PICKUP,339,1861.268436578171,8072.808259587021
CARLOS CAADA ROSTRO,PLACE,27,350.48148148148147,1423.2592592592594
CARLOS CAADA ROSTRO,FEED,319,2137.426332288401,8458.799373040752
CARLOS CAADA ROSTRO,CARE,308,2135.6915584415583,8383.181818181818
CARLOS CAADA ROSTRO,PLANT,131,1228.9083969465648,5041.641221374046
CARLOS CAADA ROSTRO,WATER,851,1980.6944770857815,8397.470035252643
CARLOS CAADA ROSTRO,COLLECT_FERTILIZER,318,2300.446540880503,9428.842767295597
CARLOS CAADA ROSTRO,DROP,80,2911.1375,8468.5875
CARLOS CAADA ROSTRO,HARVEST,338,3133.4289940828403,11724.056213017751
Chloe,PICKUP,167,131.125748502994,4475.520958083833
Chloe,BUILD_PASTURE,14,200.5,1770.142857142857
Chloe,PLACE,14,195.0,1886.2857142857142
Chloe,PLANT,158,935.5,5090.291139240507
Chloe,WATER,922,1213.3297180043385,7142.289587852494
Chloe,FEED,314,482.12420382165607,6977.398089171975
Chloe,CARE,322,586.9006211180124,7260.071428571428
Chloe,COLLECT_FERTILIZER,314,3071.127388535032,6654.124203821656
Chloe,DROP,106,4183.669811320755,6722.943396226415
Chloe,HARVEST,374,2657.053475935829,9459.05614973262
THUNDER THUNDER,PICKUP,146,121.86301369863014,2628.8630136986303
THUNDER THUNDER,BUILD_PASTURE,14,2.0,127.71428571428571
THUNDER THUNDER,PLACE,14,10.285714285714286,1585.642857142857
THUNDER THUNDER,FEED,301,597.8006644518273,5973.013289036545
THUNDER THUNDER,PLANT,173,1482.8670520231215,5465.537572254335
THUNDER THUNDER,CARE,307,690.5048859934853,6094.120521172638
THUNDER THUNDER,WATER,921,1273.3257328990228,5692.121606948968
THUNDER THUNDER,COLLECT_FERTILIZER,293,1029.6860068259386,6280.081911262799
THUNDER THUNDER,HARVEST,347,1566.0576368876082,8608.608069164266
THUNDER THUNDER,DROP,51,3877.6470588235293,7147.0392156862745
Raj Aryan,PICKUP,167,110.50898203592814,3093.994011976048
Raj Aryan,BUILD_PASTURE,14,191.5,1802.4285714285713
Raj Aryan,PLACE,14,186.92857142857142,1953.4285714285713
Raj Aryan,PLANT,158,809.8164556962025,3848.6708860759495
Raj Aryan,WATER,922,859.3405639913232,5136.741865509762
Raj Aryan,FEED,314,423.6050955414013,5015.949044585987
Raj Aryan,CARE,322,484.4751552795031,5245.444099378882
Raj Aryan,COLLECT_FERTILIZER,314,2192.1305732484075,4719.21974522293
Raj Aryan,DROP,106,2872.443396226415,4600.084905660377
Raj Aryan,HARVEST,374,1652.168449197861,6245.954545454545
Savko,BUILD_PASTURE,14,1230.857142857143,2246.6428571428573
Savko,PICKUP,339,4359.5604719764015,15460.926253687316
Savko,PLACE,27,568.8888888888889,1891.6666666666667
Savko,FEED,319,4637.974921630094,17283.065830721003
Savko,CARE,308,4928.88961038961,16901.89285714286
Savko,PLANT,130,2600.1692307692306,9731.115384615385
Savko,WATER,851,3786.4629847238543,17261.50411280846
Savko,COLLECT_FERTILIZER,318,5092.396226415094,18843.462264150945
Savko,DROP,80,4536.4,16531.2125
Savko,HARVEST,338,6464.87573964497,24333.8224852071
haoran huang430,BUILD_PASTURE,14,1230.7142857142858,2205.5
haoran huang430,PICKUP,339,1567.2625368731563,7786.929203539823
haoran huang430,PLACE,27,307.6666666666667,1374.7777777777778
haoran huang430,FEED,319,2124.655172413793,8083.147335423198
haoran huang430,CARE,308,2040.6266233766235,8057.675324675325
haoran huang430,PLANT,131,1178.5954198473282,4677.06106870229
haoran huang430,WATER,851,1902.8202115158638,7938.178613396005
haoran huang430,COLLECT_FERTILIZER,318,2241.4654088050315,9060.949685534591
haoran huang430,DROP,80,2797.8375,8185.55
haoran huang430,HARVEST,338,3068.6183431952663,11183.48224852071
Kaito Fukami,PICKUP,167,131.125748502994,4475.520958083833
Kaito Fukami,BUILD_PASTURE,14,200.5,1770.142857142857
Kaito Fukami,PLACE,14,195.0,1886.2857142857142
Kaito Fukami,PLANT,158,935.5,5090.291139240507
Kaito Fukami,WATER,922,1213.3297180043385,7142.289587852494
Kaito Fukami,FEED,314,482.12420382165607,6977.398089171975
Kaito Fukami,CARE,322,586.9006211180124,7260.071428571428
Kaito Fukami,COLLECT_FERTILIZER,314,3071.127388535032,6654.124203821656
Kaito Fukami,DROP,106,4183.669811320755,6722.943396226415
Kaito Fukami,HARVEST,374,2657.053475935829,9459.05614973262
Raj Aryan,PICKUP,167,116.95209580838323,3412.0778443113772
Raj Aryan,BUILD_PASTURE,14,193.14285714285714,1705.857142857143
Raj Aryan,PLACE,14,188.42857142857142,1817.9285714285713
Raj Aryan,PLANT,158,812.5189873417721,5038.822784810127
Raj Aryan,WATER,922,907.8329718004338,6329.20715835141
Raj Aryan,FEED,314,414.1369426751592,6176.5605095541405
Raj Aryan,CARE,322,471.6521739130435,6529.195652173913
Raj Aryan,COLLECT_FERTILIZER,314,2894.452229299363,6219.369426751592
Raj Aryan,DROP,106,4657.103773584906,6639.188679245283
Raj Aryan,HARVEST,374,2325.620320855615,9252.245989304813
