w_ds5,l_ds5,w_ttn,l_ttn,w_tslc,l_tslc,animal,day
0.0,0.0,131,136,999,999,SHEEP,0
0.0,0.0,126,136,999,999,SHEEP,0
0.0,0.0,171,167,999,999,COW,0
0.0,0.0,171,167,999,999,COW,0
200.0,0.0,117,136,9,999,SHEEP,1
99.0,0.0,114,136,17,999,SHEEP,1
99.0,0.0,161,167,10,999,COW,1
198.0,0.0,160,167,11,999,COW,1
0.0,0.0,178,167,999,999,COW,1
0.0,0.0,92,136,25,999,SHEEP,2
0.0,0.0,90,136,24,999,SHEEP,2
0.0,0.0,158,167,20,999,COW,2
488.0,0.0,129,167,31,999,COW,2
194.0,0.0,128,167,33,999,COW,2
0.0,0.0,69,136,23,999,SHEEP,3
0.0,0.0,66,136,24,999,SHEEP,3
0.0,0.0,112,167,17,999,COW,3
0.0,0.0,135,167,23,999,COW,3
0.0,0.0,111,167,17,999,COW,3
384.0,0.0,180,167,999,999,COW,3
0.0,0.0,44,136,25,999,SHEEP,4
0.0,0.0,89,167,22,999,COW,4
0.0,0.0,41,136,25,999,SHEEP,4
0.0,0.0,87,167,25,999,COW,4
0.0,0.0,111,167,24,999,COW,4
0.0,0.0,157,167,23,999,COW,4
165.0,0.0,176,167,999,999,COW,4
0.0,0.0,21,136,23,999,SHEEP,5
0.0,0.0,19,136,22,999,SHEEP,5
0.0,0.0,48,167,41,999,COW,5
1488.0,0.0,66,111,27,20,SHEEP,6
1488.0,0.0,136,167,40,999,COW,6
1432.0,0.0,111,167,46,999,COW,6
1432.0,0.0,63,167,48,999,COW,6
1521.0,0.0,35,167,13,999,COW,6
1521.0,0.0,35,167,52,999,COW,6
267.0,0.0,57,111,34,20,SHEEP,6
0.0,248.0,45,92,21,17,SHEEP,7
87.0,217.0,10,141,25,26,COW,7
87.0,217.0,10,141,25,26,COW,7
518.0,217.0,27,141,36,26,COW,7
0.0,96.0,19,63,26,26,SHEEP,8
0.0,96.0,19,63,38,26,SHEEP,8
0.0,0.0,64,117,47,24,COW,8
420.0,0.0,14,117,13,24,COW,8
420.0,0.0,86,117,50,24,COW,8
780.0,0.0,26,117,32,24,COW,8
780.0,0.0,26,117,32,24,COW,8
83.0,66.0,13,93,13,24,COW,9
83.0,165.0,60,43,31,17,SHEEP,9
247.0,66.0,34,93,28,24,COW,9
247.0,66.0,10,93,16,24,COW,9
2161.0,165.0,52,43,39,17,SHEEP,9
2079.0,66.0,169,93,999,24,COW,9
0.0,0.0,116,14,999,26,SHEEP,10
0.0,0.0,43,14,9,26,SHEEP,10
0.0,0.0,112,14,999,26,SHEEP,10
0.0,0.0,160,68,9,25,COW,10
1586.0,0.0,159,68,999,25,COW,10
4850.0,0.0,38,68,20,25,COW,10
4850.0,0.0,13,68,51,25,COW,10
6612.0,0.0,36,68,50,25,COW,10
5343.0,0.0,10,68,24,25,COW,10
5343.0,0.0,34,14,26,26,SHEEP,10
396.0,0.0,31,68,30,25,COW,10
77.0,429.0,81,135,35,999,SHEEP,11
0.0,429.0,7,135,36,999,SHEEP,11
0.0,30.0,6,45,25,23,COW,11
