day,w_cows,w_sheep,w_money,l_cows,l_sheep,l_money
0,2.4,1.6,168.0,2.4,1.6,92.0
1,2.6,1.6,135.0,2.4,1.6,63.0
2,2.6,1.6,282.0,2.4,1.6,190.0
3,3,1.6,505.0,3,1.6,344.0
4,3.2,1.6,356.0,3,1.6,216.0
5,3.8,2,806.0,4,2,823.0
6,3.8,2,1454.0,4,2,1247.0
7,5,2.4,472.0,5.6,3.2,521.0
8,5.2,4,1048.0,5.6,4.8,957.0
9,6,4.2,1443.0,6.8,4.8,1702.0
10,6.6,4.4,6826.0,7.2,4.8,7020.0
11,8.4,6,7619.0,8,6,9637.0
12,8.4,6,12034.0,8,6,14391.0
13,8.4,6,12633.0,8,6,15717.0
14,8.4,6.2,15600.0,8,6,19479.0
15,8.4,6.2,19100.0,8,6,22585.0
16,8.4,6.2,23183.0,8,6,25826.0
17,8.4,6.2,29206.0,8,6,31170.0
18,8.4,6.2,36727.0,8,6,37267.0
19,8.4,6.2,44203.0,8,6,43060.0
20,8.4,6.2,52135.0,8,6,47709.0
21,8.4,6.2,62770.0,8,6,60259.0
22,8.4,6.2,69507.0,8,6,64596.0
23,8.4,6.2,79389.0,8,6,74950.0
24,8.4,6.2,87103.0,8,6,82031.0
25,8.4,6.2,95773.0,8,6,90429.0
26,8.4,6.2,99655.0,8,6,94667.0
27,8.4,6.2,106484.0,8,6,99308.0
28,8.4,6.2,110863.0,8,6,105232.0
29,8.4,5.8,123383.0,8,5.6,120208.0
