team,sells,revenue,rev_per_sell,prod,rpa
Seb (allegedly),255,135171.0,530.0823529411765,2171,62.26209120221096
Lucien de Rubempre,546,647472.0,1185.8461538461538,2305,280.8989154013015
CARLOS CAADA ROSTRO,525,272555.0,519.152380952381,2306,118.19384215091067
Chloe,344,199854.0,580.9709302325581,2432,82.17680921052632
THUNDER THUNDER,159,158942.0,999.6352201257862,2370,67.06413502109704
Raj Aryan,346,145763.0,421.28034682080926,2432,59.93544407894737
Savko,551,550658.0,999.3793103448276,2305,238.89718004338394
haoran huang430,479,260022.0,542.8434237995824,2306,112.75888985255854
Kaito Fukami,344,199854.0,580.9709302325581,2432,82.17680921052632
Raj Aryan,346,182176.0,526.5202312138729,2432,74.90789473684211
